open_time,open,high,low,close
1629187200000,0.00061703,0.00134672,0,0.00092297
1629190800000,0.00085638,0.00233992,0.00007893,0.00043297
1629194400000,0.00068291,0.00162173,0,0.00055060
1629198000000,0.00080466,0.00199225,0.00016810,0.00092547
1629201600000,0.00057740,0.00220193,0.00037289,0.00050933
1629205200000,0.00109129,0.00164748,0.00001281,0.00084338
1629208800000,0.00087376,0.00151754,-0.00069796,0.00097707
1629212400000,0.00070049,0.00161931,0.00000744,0.00033656
1629216000000,0.00059968,0.00150381,0,0.00045923
1629219600000,0.00024499,0.00130848,-0.00010010,0.00017007
1629223200000,0.00022546,0.00129254,-0.00010578,0.00034448
1629226800000,0.00117408,0.00129006,-0.00053796,0
1629230400000,0,0.00159273,-0.00081013,0.00027641
1629234000000,0.00008455,0.00095994,-0.00043374,0.00008948
1629237600000,0.00022694,0.00116601,-0.00066714,-0.00001615
1629241200000,0,0.00123058,-0.00109226,0.00042458
1629244800000,0.00078304,0.00110039,-0.00082789,0.00029402
1629248400000,0.00072359,0.00165460,-0.00254397,0.00027257
1629252000000,0.00031273,0.00152253,-0.00052871,0.00021907
1629255600000,0.00076890,0.00136811,-0.00066413,0.00054956
1629259200000,0.00085687,0.00103021,-0.00063229,0.00012531
1629262800000,0,0.00089672,-0.00077737,-0.00031573
1629266400000,-0.00026277,0.00053134,-0.00078225,0.00002080
1629270000000,0,0.00080959,-0.00070652,0.00018039
1629273600000,-0.00021017,0.00121869,-0.00029996,0.00079318
1629277200000,0.00089758,0.00092275,-0.00028295,0.00062982
1629280800000,0.00026858,0.00121792,-0.00019231,0.00034789
1629284400000,0.00024690,0.00124883,-0.00044711,0.00100275
1629288000000,0.00089441,0.00179413,0.00002287,0.00073947
1629291600000,0.00095756,0.00160473,0,0.00078731
1629295200000,0.00053015,0.00139410,-0.00010763,0.00081159
1629298800000,0.00076310,0.00148347,0,0.00078907
1629302400000,0.00050532,0.00139986,-0.00024883,0
1629306000000,0.00024146,0.00171104,-0.00062396,0.00035701
1629309600000,0.00081673,0.00157738,-0.00026922,0.00077132
1629313200000,0.00066737,0.00166557,-0.00035266,0.00061583
1629316800000,0.00032384,0.00101512,-0.00041292,0.00008258
1629320400000,0.00017221,0.00110043,-0.00045084,0
1629324000000,0,0.00090280,-0.00067326,0
1629327600000,0.00013535,0.00118974,-0.00185010,-0.00039970
