report_time,open_interest_all,dealer_positions_long_all,dealer_positions_short_all,asset_mgr_positions_long,asset_mgr_positions_short,lev_money_positions_long,lev_money_positions_short,other_rept_positions_long,other_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all
1564444800000,4302,60,0,251,147,1843,2288,533,1280,1523,495
1565049600000,4692,0,0,260,224,1847,2264,713,1586,1800,546
1565654400000,4729,0,50,222,224,2002,2480,647,1346,1748,519
1566259200000,4485,0,50,266,224,1836,2209,463,1350,1696,428
1566864000000,4091,0,50,237,222,1739,2093,309,1131,1725,514
1567468800000,4493,31,50,324,163,1979,2467,421,1221,1584,438
1568073600000,4128,31,50,244,190,1692,2233,480,951,1428,451
1568678400000,4174,31,50,262,201,1688,2254,521,1093,1453,357
1569283200000,4178,72,50,42,100,1651,2510,488,687,1628,534
1569888000000,3348,59,0,70,31,1298,2063,374,572,1410,545
1570492800000,3335,59,0,140,138,1211,2048,395,526,1395,488
1571097600000,3444,59,0,210,149,1186,2031,370,511,1418,552
1571702400000,3093,59,0,163,31,950,1714,321,518,1384,614
1572307200000,3155,33,0,260,86,956,2016,569,445,1185,456
1572912000000,3520,32,0,188,149,1221,2345,595,457,1297,382
1573516800000,3091,32,0,99,143,912,2043,636,358,1274,409
1574121600000,3157,38,0,67,292,1059,1914,466,334,1402,492
1574726400000,3554,38,0,56,298,1155,1669,334,626,1669,659
1575331200000,2983,131,0,93,256,894,1257,307,638,1486,760
1575936000000,3232,131,0,56,285,1069,1766,310,396,1544,663
1576540800000,3840,134,0,38,444,1578,2446,295,331,1658,482
1577145600000,3541,137,0,133,283,1179,2256,276,514,1690,362
1577750400000,3186,137,0,159,437,1037,1840,366,451,1354,325
1578355200000,5400,66,42,338,331,2517,3661,464,786,1757,322
1578960000000,5405,66,46,272,300,2688,3339,342,1043,1774,414
1579564800000,5139,66,46,185,445,2304,3035,437,864,1802,404
1580169600000,4917,66,46,391,438,1747,2907,419,765,1967,434
1580774400000,4367,71,50,132,434,1436,3136,678,168,1851,380
1581379200000,6106,76,50,367,148,2237,4553,924,533,2112,432
1581984000000,6463,78,158,260,177,2452,5258,1576,181,1822,414
1582588800000,5632,71,178,164,189,1774,4511,1741,38,1593,427
1583193600000,4837,66,159,163,196,764,3454,1234,0,1989,407
1583798400000,4368,65,41,115,362,1421,3002,783,25,1490,444
1584403200000,4474,336,0,101,465,1869,2907,584,504,1481,495
1585008000000,3909,36,0,125,297,1136,2291,969,550,1503,631
1585612800000,3947,36,0,173,248,1489,2602,900,453,1259,554
1586217600000,5448,36,0,221,204,2452,3652,671,934,1765,355
1586822400000,5538,38,0,203,283,2260,3198,868,1394,1903,397
1587427200000,5648,38,0,218,316,2394,3026,759,1600,1973,440
1588032000000,6111,53,30,324,35,2024,3379,1233,1784,2011,417
1588636800000,7784,48,160,316,0,3312,4269,1330,2302,2071,346
1589241600000,9939,43,300,282,113,4923,6477,1389,2047,2645,345
1589846400000,10878,41,342,342,193,5458,6815,1535,2576,2896,346
1590451200000,8722,36,307,363,93,3880,4783,1755,2501,2286,636
1591056000000,8824,36,394,423,214,3684,5752,1806,1706,2597,480
1591660800000,9565,36,532,435,214,4203,6198,2175,1816,2473,562
1592265600000,8784,31,495,406,294,3776,5710,2169,1447,2193,629
1592870400000,9330,31,493,642,297,3847,6230,2120,1417,2308,511
1593475200000,7675,0,493,362,80,3079,5332,2255,1017,1874,648
1594080000000,8165,0,523,626,203,3262,5731,2132,1048,2060,575
1594684800000,8322,0,533,444,255,3573,5460,2306,1385,1896,586
1595289600000,9230,0,533,485,278,4122,6062,2217,1651,2277,577
1595894400000,13068,0,580,646,684,5982,7942,2292,2847,3685,552
1596499200000,12703,0,580,451,584,6312,7702,2131,3106,3514,436
1597104000000,13090,0,580,206,495,6444,7785,1943,2677,3428,484
1597708800000,14454,0,580,296,585,5760,8590,2776,2427,3885,535
1598313600000,11615,0,580,296,1,4839,6148,1957,2345,3197,1215
1598918400000,10617,0,540,745,182,4271,6842,1947,1775,2815,439
1599523200000,8198,0,229,256,35,2758,4661,1729,2028,2724,514
1600128000000,9383,0,0,717,12,2819,5224,1653,2766,3415,602
1600732800000,8426,0,0,285,12,2280,4480,1580,2062,3006,597
1601337600000,7324,0,0,525,28,2004,4730,1590,1482,2649,528
1601942400000,7511,0,0,703,64,2153,4854,1604,1747,2696,491
1602547200000,9353,0,0,702,0,3487,6314,1713,2063,2961,486
1603152000000,10896,0,0,874,0,4558,7741,1926,2320,3072,369
1603756800000,12665,0,285,770,0,5462,9010,2579,2578,3540,478
1604361600000,11278,0,661,800,0,4379,8007,2539,2030,3405,425
1604966400000,11311,0,732,832,7,5097,7881,2250,1803,2839,595
1605571200000,11509,0,732,845,4,5305,8097,1933,1663,3110,697
1606176000000,12336,0,643,668,0,5441,9864,2381,300,3104,787
1606780800000,11812,28,643,626,0,4509,9375,2442,460,3334,461
1607385600000,11750,316,643,544,11,4365,9354,2063,177,3403,506
1607990400000,11370,437,618,492,26,3946,8702,2027,84,3134,606
1608508800000,12603,525,618,573,30,4357,10320,2418,120,3878,663
1609200000000,10653,504,628,620,32,3679,8466,2123,245,3165,720
1609804800000,11296,436,663,793,32,3544,9058,2672,261,3343,774
1610409600000,12039,324,754,733,0,4107,9602,2522,373,3676,633
1611014400000,11945,413,709,639,123,3911,9119,2879,674,3529,746
1611619200000,10787,428,605,308,225,3605,7991,2424,364,3176,756
1612224000000,9469,422,446,308,357,3031,7224,2008,161,3070,651
1612828800000,11055,387,564,348,265,3149,8481,2822,64,3423,755
1613433600000,11426,368,564,338,339,3301,8750,3030,132,3508,760
1614038400000,10572,332,464,314,551,2633,7639,3650,259,2892,908
1614643200000,8068,376,137,323,643,1757,5563,2419,168,2465,829
1615248000000,8785,395,164,331,619,2055,6148,2573,186,2635,872
1615852800000,9335,468,203,357,516,2099,6756,2352,139,3055,717
1616457600000,9897,502,132,358,463,2606,7198,2608,315,2828,794
1617062400000,9322,493,243,354,534,2335,7144,2992,173,2596,676
1617667200000,9865,501,264,355,519,2481,7477,3105,174,2742,750
1618272000000,9653,556,311,366,340,2979,7634,2433,174,2820,695
1618876800000,8817,516,87,372,554,2616,6709,2173,268,2652,711
1619481600000,8429,489,41,369,869,1991,5464,2040,169,2685,1031
1620086400000,8306,500,93,370,994,2544,5507,2020,258,2286,868
1620691200000,8259,516,113,377,910,2327,5409,2152,271,2152,821
1621296000000,9160,572,96,356,1085,3302,6123,2402,302,1819,845
1621900800000,8893,381,132,404,651,2261,5748,2564,336,2071,814
1622505600000,7318,228,145,407,619,2081,4949,2144,269,1900,778
1623110400000,7566,235,181,382,739,2507,4964,1915,233,1903,825
1623715200000,7528,227,153,517,629,2603,5090,1604,199,1851,731
1624320000000,7914,255,145,419,739,2563,4927,1910,361,1913,888
1624924800000,6788,248,120,542,613,2291,4357,1389,180,1615,815
1625529600000,6889,280,117,504,497,2412,4603,1384,184,1603,782
1626134400000,7129,295,102,546,496,2696,4923,1484,226,1542,816
1626739200000,8283,341,120,560,602,3738,5724,1373,262,1564,868
1627344000000,7802,195,105,494,165,2800,4841,984,306,1692,748
1627948800000,6408,232,74,643,234,1969,4782,1571,169,1605,761
1628553600000,6769,281,51,629,275,1995,5113,1749,231,1774,758
1629158400000,7363,288,52,672,311,2292,5542,1845,239,1863,816
1629763200000,7515,252,110,695,311,2016,5302,1864,247,1923,780
1630368000000,6362,326,139,702,370,1810,4797,1586,247,1720,591
1630972800000,6659,302,161,621,378,1684,4990,1923,210,1850,641
1631577600000,6620,357,195,502,451,1780,4496,1612,210,1811,710
1632182400000,7348,360,145,519,471,1971,4939,1916,210,1845,846
1632787200000,7039,479,144,559,413,1338,4956,2642,210,1480,775
1633392000000,8886,503,533,487,399,1710,5994,3472,210,1758,794
1633996800000,10918,485,1010,696,320,2148,6863,4204,211,1751,880
1634601600000,13605,490,1264,839,354,2072,8317,4153,219,3868,1268
1635206400000,16671,530,1485,1794,514,3185,9423,2498,414,4810,981
1635811200000,13512,554,1429,4807,691,2957,8642,1471,218,1943,752
1636416000000,13821,586,1422,4980,750,2620,8676,1638,220,2071,827
1637020800000,13648,629,1176,5139,779,2236,8182,1280,268,2008,887
1637625600000,14357,617,1334,5395,750,2414,7063,1590,300,2094,2663
1638230400000,13197,587,1336,5726,702,2374,7811,1662,1494,1811,817
1638835200000,13242,479,1082,5826,718,1997,8095,1735,933,1668,877
1639440000000,13518,443,870,5759,778,2198,7824,1816,1259,1565,1050
1640044800000,12852,431,573,5630,751,1893,7571,1048,946,1755,916
1640649600000,12468,459,540,5554,859,2453,8104,697,426,1606,840
1641254400000,10563,463,401,5541,900,1451,6807,749,793,1498,801
1641859200000,10855,404,264,5419,968,1464,7159,1085,540,1441,882
1642464000000,11468,414,244,5417,1043,1496,7339,1445,717,1407,836
1643068800000,11756,300,288,5525,1004,1565,7612,1573,571,1469,957
1643673600000,9948,384,228,5536,703,1248,6716,1120,991,1232,882
1644278400000,9886,362,280,5856,655,1045,6361,864,1339,1474,966
1644883200000,10646,355,353,6118,718,1103,6396,1100,1637,1364,936
1645488000000,11007,335,317,6025,821,1365,7243,1098,981,1338,799
1646092800000,9980,306,294,5862,843,1036,6299,1098,1303,1198,761
1646697600000,9591,299,355,5893,925,906,6174,934,735,950,793
1647302400000,10198,281,328,5957,902,982,6512,1048,789,1029,766
1647907200000,11274,300,356,6289,816,1159,6807,1003,1253,1263,782
1648512000000,12024,354,1193,6812,614,1788,7133,1140,1836,1302,620
1649116800000,11374,345,1393,6674,635,1507,6702,722,1159,1322,681
1649721600000,10632,406,1127,6110,807,1374,6654,656,230,1058,786
1650326400000,11276,377,1124,6214,570,1194,6226,833,1067,1155,786
1650931200000,10709,364,872,6147,523,1714,6812,654,686,942,928
1651536000000,10051,353,722,5831,658,1496,6834,739,246,867,826
1652140800000,10841,283,802,5735,888,1863,7192,1135,220,989,903
1652745600000,11644,192,1062,5688,641,1413,7691,2465,433,1081,1012
1653350400000,11729,191,1335,5386,566,2116,7249,2171,682,1072,1104
1653955200000,10900,209,1688,5566,572,1102,6428,1962,251,1033,933
1654560000000,10990,215,1827,5857,856,1118,6173,1938,311,1063,1024
1655164800000,12242,253,1917,6371,1060,1344,6572,2090,395,1008,1122
1655769600000,13537,62,2010,6612,1012,1508,7167,2391,333,1048,1099
1656374400000,13707,153,2003,6526,1088,2478,7597,2095,426,890,1028
1656979200000,13258,96,2002,5914,961,2171,7408,2619,471,1058,1016
1657584000000,13505,137,2108,6096,1369,2264,7149,2044,287,1247,875
1658188800000,14512,132,2178,6247,1211,2800,8296,2209,275,1360,788
1658793600000,14957,126,2239,6580,1138,2184,6814,1337,275,1160,921
1659398400000,12849,94,2153,7082,957,2233,7094,1085,627,1085,748
1660003200000,12510,106,1937,7153,935,2029,6556,445,606,1034,733
1660608000000,12423,113,1819,7129,983,1673,6270,619,815,1202,849
1661212800000,13302,59,1968,6368,1144,2804,7502,1597,449,1141,906
1661817600000,14440,173,2048,5823,1410,3928,7908,1928,517,996,965
1662422400000,15337,200,2110,5402,1899,4538,8072,2666,704,956,977
1663027200000,13089,100,2162,5653,1394,3420,7045,1641,407,944,750
1663632000000,13880,108,2502,5488,1431,3390,7241,2416,463,1107,872
1664236800000,14271,105,2574,5666,1151,3472,7962,2717,470,1061,864
1664841600000,14230,124,2487,6028,1117,2682,8175,2985,493,1291,838
1665446400000,15756,246,2553,5902,1486,3722,8172,2867,746,1007,787
1666051200000,14228,258,2568,5992,1158,2091,7219,2489,528,1404,761
1666656000000,14854,237,2330,6309,847,3525,7875,1239,615,1176,819
1667260800000,12183,222,2453,6397,1042,2304,5873,450,473,1218,750
1667865600000,14439,224,2640,6265,1434,3998,7038,962,768,1269,838
1668470400000,17901,415,2608,5706,1416,5365,9052,2736,1489,1231,888
1669075200000,18354,340,3017,5459,1322,5743,8672,2761,1595,1405,1102
1669680000000,16832,271,3095,5606,1369,4842,8606,3191,1296,1236,780
1670284800000,15769,171,3130,6303,1278,4197,7707,2286,1343,1365,864
1670889600000,13989,101,3490,6455,968,4176,5677,337,1383,1329,880
1671494400000,14563,272,3754,6006,875,3962,5692,1174,1571,1319,841
1672099200000,16028,272,3659,5941,969,4768,6690,1423,1432,1291,945
