open_time,open,high,low,close
1586412000000,0.00008788,0.00008788,-0.00077730,-0.00008462
1586415600000,0.00001250,0.00011706,-0.00060804,-0.00037428
1586419200000,0,0.00041910,-0.00088832,-0.00011973
1586422800000,0.00002260,0.00043930,-0.00028024,0.00007521
1586426400000,0.00007500,0.00085297,-0.00037233,-0.00008619
1586430000000,-0.00017762,0.00051588,-0.00046486,0.00005021
1586433600000,0.00004660,0.00072256,-0.00117508,-0.00018086
1586437200000,0.00003750,0.00044702,-0.00069772,0.00007149
1586440800000,0.00002500,0.00048310,-0.00059110,0.00001271
1586444400000,0.00001250,0.00017850,-0.00073128,0.00000021
1586448000000,0.00034357,0.00034357,-0.00048837,0.00008771
1586451600000,0.00008750,0.00045518,-0.00059656,-0.00001414
1586455200000,0.00007500,0.00032297,-0.00049610,0.00018944
1586458800000,0.00020395,0.00059213,-0.00068803,0.00006249
1586462400000,0.00005000,0.00057084,-0.00063732,0.00003771
1586466000000,0.00003750,0.00124050,-0.00117266,-0.00017304
1586469600000,0.00009748,0.00043757,-0.00075831,0.00015049
1586473200000,0.00001250,0.00011382,-0.00039372,-0.00004052
1586476800000,-0.00058326,0.00028901,-0.00058326,0.00008771
1586480400000,0.00008750,0.00030293,-0.00045156,-0.00038547
1586484000000,-0.00013726,0.00013042,-0.00073753,0.00000404
1586487600000,-0.00028329,0.00156143,-0.00088706,-0.00007163
1586491200000,0.00004562,0.00095365,-0.00199205,0.00003771
1586494800000,-0.00012561,0.00008231,-0.00227958,-0.00009725
1586498400000,-0.00021794,0.00030639,-0.00094163,-0.00032851
1586502000000,-0.00047918,0.00057391,-0.00151251,0.00000021
1586505600000,0,0.00066257,-0.00076003,0.00008771
1586509200000,0.00008750,0.00048337,-0.00091652,0.00002634
1586512800000,-0.00007644,0.00007333,-0.00077172,-0.00060561
1586516400000,-0.00039632,0.00030489,-0.00132929,-0.00059171
1586520000000,-0.00014257,0.00004896,-0.00084191,0.00003771
