open_time,open,high,low,close
1673319600000,-0.00050828,0.00032380,-0.00091462,-0.00025606
1673323200000,-0.00025407,0.00063429,-0.00077840,0.00006119
1673326800000,0.00006011,0.00076496,-0.00026389,0
1673330400000,0,0.00039765,-0.00059577,0
1673334000000,0,0.00064788,-0.00054307,-0.00000267
1673337600000,-0.00000613,0.00027762,-0.00077379,-0.00052876
1673341200000,-0.00050440,0.00108857,-0.00062310,-0.00021982
1673344800000,-0.00027104,0.00018351,-0.00073225,-0.00004876
1673348400000,-0.00001555,0.00004468,-0.00102239,-0.00024114
1673352000000,-0.00024608,0.00038947,-0.00059300,-0.00000558
1673355600000,0,0.00053397,-0.00079118,-0.00032998
1673359200000,-0.00032945,0.00032510,-0.00113602,-0.00048167
1673362800000,-0.00046337,0.00007044,-0.00077351,-0.00026695
1673366400000,-0.00050724,0.00006837,-0.00103884,-0.00005253
1673370000000,-0.00007765,0.00038527,-0.00092979,-0.00030639
1673373600000,-0.00031705,0.00007781,-0.00077146,-0.00027188
1673377200000,0,0,-0.00082327,-0.00026481
1673380800000,-0.00050426,0,-0.00102558,-0.00027500
1673384400000,-0.00026871,0,-0.00082197,-0.00030640
1673388000000,-0.00056138,0.00026463,-0.00078838,0
1673391600000,-0.00004533,0.00031978,-0.00086920,0
1673395200000,0.00000188,0.00043711,-0.00087610,0.00003023
1673398800000,0.00025080,0.00049205,-0.00042453,0.00000634
1673402400000,0.00000472,0.00054381,-0.00101635,0
1673406000000,-0.00004655,0.00044759,-0.00089181,-0.00020918
1673409600000,-0.00042849,0.00143843,-0.00173349,0
1673413200000,-0.00057097,0.00072523,-0.00149805,0
1673416800000,0,0.00045269,-0.00338464,0
1673420400000,-0.00005754,0.00028551,-0.00125604,-0.00081668
1673424000000,-0.00031477,0.00058284,-0.00108748,0
1673427600000,-0.00044245,0.00031533,-0.00088202,0.00003857
1673431200000,0,0.00029470,-0.00072329,-0.00004360
1673434800000,-0.00004410,0.00045202,-0.00106915,-0.00021834
1673438400000,-0.00022191,0.00024650,-0.00076731,-0.00031355
1673442000000,-0.00032120,0.00057181,-0.00121941,-0.00009936
