create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-06-24 03:50:00,HYPEUSDT,5535315.2900000000000000,339403392.3216400000000000,1.20658565,1.52340200,1.25318006,0.50142300
2026-06-24 03:55:00,HYPEUSDT,5536555.0600000000000000,339545848.7196800000000000,1.20286832,1.52306600,1.25143448,0.84504200
2026-06-24 04:00:00,HYPEUSDT,5546859.9900000000000000,339445643.9480400000000000,1.19872711,1.52722200,1.24286917,0.46834900
2026-06-24 04:05:00,HYPEUSDT,5545607.5800000000000000,338919226.2938499500000000,1.19748281,1.52688600,1.23664834,1.53471400
2026-06-24 04:10:00,HYPEUSDT,5549364.3000000000000000,339132751.1016000000000000,1.19510616,1.52837800,1.23237016,1.39006700
2026-06-24 04:15:00,HYPEUSDT,5551155.9300000000000000,337647485.4119860500000000,1.19673406,1.52833900,1.23395946,0.32042900
2026-06-24 04:20:00,HYPEUSDT,5554277.5300000000000000,336682852.7729429600000000,1.19386694,1.52774200,1.22848886,0.48036300
2026-06-24 04:25:00,HYPEUSDT,5555584.0500000000000000,338893166.7296926400000000,1.19620088,1.52793400,1.23149445,1.07022300
2026-06-24 04:30:00,HYPEUSDT,5556830.8500000000000000,339981081.3216675000000000,1.20211240,1.52496300,1.24051700,1.43033200
2026-06-24 04:35:00,HYPEUSDT,5556492.2700000000000000,339582246.8349150000000000,1.20190178,1.52722400,1.23666760,0.96997000
2026-06-24 04:40:00,HYPEUSDT,5558375.5000000000000000,339683443.5560000000000000,1.19932256,1.52748500,1.23752103,0.47368200
2026-06-24 04:45:00,HYPEUSDT,5555378.8500000000000000,342554539.1878703000000000,1.20088819,1.52809000,1.24424396,1.83020500
2026-06-24 04:50:00,HYPEUSDT,5557006.2600000000000000,341507229.4652181000000000,1.20460492,1.52806100,1.24757875,0.46607900
2026-06-24 04:55:00,HYPEUSDT,5558410.7700000000000000,341689118.1331471000000000,1.20439101,1.52801100,1.24720579,1.53965500
2026-06-24 05:00:00,HYPEUSDT,5556430.3300000000000000,342487252.6805400000000000,1.19976529,1.52810100,1.24156988,1.50502900
2026-06-24 05:05:00,HYPEUSDT,5559138.1600000000000000,342932114.8140800000000000,1.20005213,1.53096100,1.24287856,0.54460600
2026-06-24 05:10:00,HYPEUSDT,5562888.4800000000000000,343254338.2872116000000000,1.19963513,1.53100100,1.24180558,2.83225300
2026-06-24 05:15:00,HYPEUSDT,5562087.0900000000000000,344070707.3874000000000000,1.20350052,1.53009000,1.24490945,1.82293800
2026-06-24 05:20:00,HYPEUSDT,5580564.0400000000000000,346599053.2555876000000000,1.19950320,1.53525000,1.24707988,2.34087900
2026-06-24 05:25:00,HYPEUSDT,5589368.4100000000000000,348117043.3116200000000000,1.19211694,1.53906900,1.24054563,1.37224900
2026-06-24 05:30:00,HYPEUSDT,5583032.5600000000000000,346769438.2149211000000000,1.19394414,1.53894800,1.24045873,0.83279700
2026-06-24 05:35:00,HYPEUSDT,5586024.7000000000000000,348473567.5712431000000000,1.19549561,1.54101500,1.24624540,1.78947200
2026-06-24 05:40:00,HYPEUSDT,5586956.9600000000000000,348252405.1553371000000000,1.19534519,1.53847900,1.24303202,1.05706800
2026-06-24 05:45:00,HYPEUSDT,5582797.3500000000000000,347426451.4274331000000000,1.19540230,1.53694600,1.24915094,0.29373900
2026-06-24 05:50:00,HYPEUSDT,5577851.7900000000000000,346847770.3737232000000000,1.19394809,1.53098100,1.24729055,0.58682900
