address,coin,szi,entryPx,positionValue,unrealizedPnl,leverage_type,leverage,liquidationPx
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,CHIP,-1014713.0,0.045135,49015.711465,-3216.086017,cross,3,0.2836133611
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,CASHCAT,-163689.0,0.15733,26351.801043,-598.466794,cross,3,1.6196705583
0x34705cb69ac83cd65d4710259151665ab0ce6fa6,PONS,-139365.0,0.62784,86096.9097,1402.06849,cross,3,2.3310541576
0x901f21e23066a653d218f369d0f75bdc4f6ae383,CASHCAT,-132800.0,0.175064,21362.208,1886.344061,isolated,1,0.4894217419
0x1c4e90fc8bdade442aed58f8011db5a17a2e7199,ZEC,-191.75,1563.7961,296264.98655,3592.93045,cross,1,3542.7643865549
0xb53a3d7404cfd09e2c995a0c1006897beb9c13cd,BTC,5.00333,76653.0,421810.73898,38290.484237,cross,26,64574.6066428113
0xb53a3d7404cfd09e2c995a0c1006897beb9c13cd,ETH,70.8551,2465.79,190352.22615,15637.83935,cross,20,1282.5332709765
0xb53a3d7404cfd09e2c995a0c1006897beb9c13cd,XMR,10.0,535.965,5602.5,242.842136,cross,5,
0xd782059de58ebe238592198b97f10e77a1eb6ca7,BTC,0.5,83950.0,42182.0,207.0,cross,25,
0xd782059de58ebe238592198b97f10e77a1eb6ca7,ETH,-40.0,2692.65,107572.0,134.2,cross,20,4140.8334744118
0xd782059de58ebe238592198b97f10e77a1eb6ca7,SOL,800.0,116.6045,93416.0,132.3411,cross,20,40.8436336462
0xd782059de58ebe238592198b97f10e77a1eb6ca7,ONDO,5000.0,0.50986,2582.25,32.95,cross,10,
0xd782059de58ebe238592198b97f10e77a1eb6ca7,HYPE,-800.0,94.25,74607.52,792.48,cross,10,163.7624544714
0xe2584edf3b859aa233c4e42fa1f44d4bccb0cb7a,RUNE,37572.7,0.62572,23974.012689,463.707726,cross,4,
0xe2584edf3b859aa233c4e42fa1f44d4bccb0cb7a,NEAR,16560.3,4.54623,78148.0557,2861.06107,cross,8,2.4515957155
0xe2584edf3b859aa233c4e42fa1f44d4bccb0cb7a,NIL,296735.0,0.10318,34020.66775,3403.256315,cross,3,
0xe2584edf3b859aa233c4e42fa1f44d4bccb0cb7a,ZEC,24.81,1575.6151,38467.905,-623.106068,cross,6,37.0419116231
0xe2584edf3b859aa233c4e42fa1f44d4bccb0cb7a,LIT,477.0,5.381322,2514.5055,-52.385418,cross,4,
0xb6256976d6898b3fffae5f02259b1c743f39e661,HYPE,1274.14,84.2129,118791.89462,11492.771885,cross,3,61.7774852016
0x4d2a44b0bad99a50d7b1630d5d34ce2f67a65603,ETH,-72.8948,2469.99,195974.02506,-15924.3101,cross,10,6968.6015585904
0x4d2a44b0bad99a50d7b1630d5d34ce2f67a65603,ZEC,-181.03,1400.3988,280681.348761,-27167.146761,cross,10,3224.7021612782
0x5adcd7801b0f3c3aa0c2d429dc2ed607d9c5f2e5,UNI,2154.2,9.28913,19916.6561,-94.0038,cross,10,
0x5adcd7801b0f3c3aa0c2d429dc2ed607d9c5f2e5,NEAR,6492.5,4.62324,30588.7645,572.31717,cross,10,0.0333614963
0x5adcd7801b0f3c3aa0c2d429dc2ed607d9c5f2e5,ENA,135651.0,0.22128,29988.36657,-28.54916,cross,10,
