address,display_name,account_value,day_pnl,day_roi,day_vlm,week_pnl,week_roi,week_vlm,month_pnl,month_roi,month_vlm,allTime_pnl,allTime_roi,allTime_vlm,vlm_to_acct
0x859da4fd374026150f0f5176b24ac3d71c4e0a3f,,45414.799659,4428.2708,0.1080421037,112077.71,20681.242804,0.8361612899,2607323.54,16564.263321,0.4376229487,18458526.01,19455.999659,0.379556683,61153983.11,1346.6
0x407c578cc7c27d8df36633cd0a2531c14aa1ccd5,,184582.572398,3181.040797,0.0171655383,32374.68,3667.027573,0.0195663983,232650.41,-1525.137862,-0.007786611,2065521.67,448247.632398,1.6350152871,512068978.82,2774.2
0x93c48e9d5f387741d70f7f8bd6b8599c2c86ddb9,,83179.497201,3099.662794,0.2155601083,0.0,15718.493145,0.233001174,825751.54,17304.492273,0.2626867701,1081885.57,57678.227201,2.2617786173,23830718.94,286.5
0xfc55a72ec00ea3595ba5119882c7e7adb52985ca,,75464.971159,841.864046,0.0112815464,28548.91,5152.505804,0.0732801187,533770.73,17568.185783,0.2815559436,2777812.07,191703.701159,21.2110773045,45008662.4,596.4
0x280e93b4d5e7dc852332a41e93c3329052d40e8f,,4241046.003123,19381.518164,0.0028437427,2595643.48,784702.595654,0.1296991493,2595643.48,985954.278114,0.1685702079,2595643.48,19865642.813123,3.7352867305,66748612.88,15.7
0x0f22ddd9f89148fd9cf703d8f332fccf911d3549,,208571.166734,22732.468176,0.1219299875,2841012.0599999996,33479.142151,0.1905558447,6808818.5200000005,70043.175487,0.4860759831,41643800.96,98325.196734,0.8453913751,54891527.09,263.2
0x0c1a14341119c84ab0bc65910851d11eef8b46f4,,44395.616959,25.089793,0.0005654608,11943.15,1211.368074,0.0280511553,452493.75,5455.374169,0.1400960492,1958668.63,54267.986959,266.5029070324,33896000.06,763.5
0xbc52b01b4bd45d7a87d7ed000048d64ebab1f3ab,,2983821.740344,842.539912,0.0002824491,0.0,215333.616318,0.0777802203,0.0,400724.309973,0.1551332541,1105405.44,541918.540344,0.1676946456,520746686.59,174.5
0xd43d5699b62540a09d065dac6108c399cf7a339f,,115639.717961,335.574581,0.0029103428,0.0,18914.014676,0.1786435801,366264.41,20431.853092,0.1829040926,2765400.41,98361.287961,2.299580441,21609002.39,186.9
0x5c3f126c107ee8c914e6a5b3d21f40d4f83937f4,,590962.0293,-5433.788393,-0.0091095163,0.0,308057.249676,0.9250835679,0.0,219718.609278,0.467702541,11630270.19,430754.2393,1.4419068858,20283358.77,34.3
0xf65e7be8343965ca1088c5ee937da8dab527e3ad,,427322.892378,6594.217821,0.0156733263,417067.57,97130.73692,0.2933896821,4135376.15,57731.333745,0.1558354926,9700607.05,122676.732378,0.4015369455,14143216.75,33.1
0x766337d18e12df977b5f54516b2333e39e7dcb5a,,1101662.551104,12692.000644,0.0116539747,300780.12,43049.84542,0.0406624434,1740184.22,-1388.37384,-0.0012585529,4424940.52,-780782.185675,-0.461320875,268478367.88,243.7
0x2d760d867ebebd7da5b0be18fed71b4bcc9610eb,,1388756.329844,-19600.763686,-0.0139164791,9574264.88,92449.321283,0.0713119573,28138931.94,88219.753816,0.0678281354,80573694.06,2734592.919844,1.1698771153,1438276628.1,1035.7
0x5a91f0cedd209cc26de628ac0392a6ca4702417f,,362268.521635,2895.302879,0.0410723656,0.0,-10024.816695,-0.021225827,4707081.48,36150.121825,0.0848358621,27333475.35,68369.351635,0.1709664755,35691475.17,98.5
